   1.68799981E-03          50
   9.88699961E-03         100
   2.95039993E-02         150
   6.24259971E-02         200
  0.120361999             250
  0.204969004             300
  0.311614990             350
  0.441615999             400
  0.622408986             450
  0.860832989             500
   1.13273895             550
   1.45109105             600
   1.85112298             650
   2.33333707             700
   2.84545708             750
   3.60332990             800
   4.10316706             850
   4.85466814             900
   5.97495842             950
   6.75658989            1000
   7.78484535            1050
   9.11254501            1100
   11.1055412            1150
   12.6547050            1200
   13.8069782            1250
   15.7473097            1300
   17.8986874            1350
   20.1938915            1400
   26.8956203            1450
   34.9069977            1500
   32.2372932            1550
   34.3733253            1600
   43.3430405            1650
   48.1412201            1700
   51.6168671            1750
   56.1334877            1800
   63.0892296            1850
   63.7508278            1900
   67.6872101            1950
   76.0433731            2000
